Dataset description: 
 Total samples: 78096
 Total number of scenes: 4148 
 Max samples of scenes: 73 
 Mean samples of scenes: 18 
 Min samples of scenes: 4 

scene_id	count
084c547f9b3b403e9adccc067af03060	20
08540bcdaf754a369bb3508c3a8fee28	9
085515299571459cb0d7ed6e2a4be3d1	12
08681016788f4d59b1b8bee9a86402d4	19
086aa94c664d4391ad94e61c9a6dbe2f	27
086af1a3d1184f78a8f0ea6872875542	14
0882e88582ae4f9f81c6f8f533b2dffc	20
0894f6e86fd440ba9ba1cd5e280dcd3f	16
08983301639145a58a1e1b5446cba395	24
08a6447d0e9345b8ac9f81d93ba02b00	25
08a87264803c431daf49afafc3fa6c4e	21
08d4b3d0b24446ea84903f90a331bc15	18
09083d242da542a88b80edd3fe21f8d4	32
090cef77ca4e4251b80832753458a2df	21
09168e3ff5ef4fa99563aced8c280bcf	26
09284d6b251a43bd8a7e60c0fe7b579a	14
0971dac8a6944a7d8bb00acd9aa5eeb5	19
0990ab181e084c899a050de4cb107a03	31
09b68df1e266407481a4ccf53e4f15b8	11
09c6a4470ee04d2185d3b463844aaa08	24
09d1f65c901c401eb078804c4ae2940e	18
09d5c26164c84ba9adaf37b1e5af65b0	14
09e030a2bb9041b19935d8d2ac845b58	15
09e185b1e4b94006a007aa0480e70b3c	22
09e8d5abdc264d058d34ea6a2cfb8253	16
09f9369b346644af930fe6c43655f1e7	14
09fa3e17d2b5469d8d58b49498542f2b	40
09fb11e62d20441e88624f98d8ff0719	17
0a0c123d36164cb191f0a6cb67294569	16
0a3562940ee04a8088800e25e7eb5ff3	25
0a37d9e3a89640328c4ca6b8cd1bf1e2	12
0a40316b2ad0438bb439e8d677a9f690	11
0a4571546f2d4e5caeb20712b8e21a10	28
0a6c7eb8f3bd48529ad6f74ba789d0d4	8
0a85facf5c814ccab3b14360b1a359af	11
0ab64b7b95594a8da4f0b20e55f319a8	17
0ab6f6dab4ac4f4393a6dc60fbe2299c	22
0ab7af6d190f441da1196318c6984a5e	18
0ac30e40381446db8ed06aed155e5ea1	13
0ad9df70ed1948468c7675fd8c37c0b8	29
0ae1e5cea37f420583f4c1ac01ec8cb4	19
0aed53e31dae43c6a535dcbc51d07779	12
0af77e68f33248829e70f26fc3ccffe7	12
0afba52f35e640178d2cac86b8a9ba9c	18
0b16e35d31e3490ea44b15833956bac7	17
0b1dd93fda074afa9c8910c6699b67ac	27
0b205604d54d4cc08f8716d422226d55	47
0b27786c92764ef687cffed543539a1f	17
0b31284e62be482ebf8055507764ddf9	16
0b5d74ef5ad3447e891c90383d1c4a60	19
0b60679f2b5d4ec1b3ae7bb217760c6f	16
0b621c5b250848feabf9ae45bd8e2bde	19
0b6a79094ac04dfd91a99c77ae5612d3	9
0b7674caed774f7db40deae8cd3ac555	21
0b82d438f9764e13bd635285d8c9b6ff	18
0b839e871edb418ab97e0a2c73565030	16
0bb10005b7b04c208cec506cfeafbc7d	26
0bbd8283f7234f8aa67545392dc9e9a2	17
0bc8eae4bf984f5285d263a6c34e37a9	24
0bcc6bb7303e4d9ebad7fc68ea718647	20
0bfbc96e101f4d5db052bb2a560b49b6	18
0c1fcb42d1d5460dba53956b341bb39c	14
0c23882c7df8487a9ef9e051929e709f	14
0c2acb55bd5c4adaad3d638aef4285c7	20
0c49a9e4ff994f9d933ab651ba1eb649	18
0c4eeb83a7e849a58d0a46366180e6be	7
0c50c568fb76443d8751564088d29f27	21
0c52dd340a5f46f7a704ec69023e27cd	18
0c5ff8e3fbbd4af9a7c8deb78fe30988	17
0c6cb598052242d89bfbce1b5d1ade48	21
0c7779db6f944443956494085a5b0e2a	12
0c7c399aafc34acd9d6e43bebcc57a9f	11
0c7d9fcd25c04a2fb057631f61bfe834	10
0c88e1ce35e7406ab975233340ddd9fc	23
0caa1330f446446f970d2a9d81230b5a	12
0cbb33a061e14ce4890e82b959979c07	17
0cc5406716c445c8b3e17f8363850d1f	24
0cd9ad6c5e7d4dae8d0e900161339eac	27
0ce029bd1ded479b804b55fcaa4bd097	21
0ce424473b0b4eb7ba99f5991712517a	26
0cff1ba0d58c4a3aac7109efca621bea	28
0cff263089d54ae894f9c37d7fde6148	21
0d05aa56281843b3a285f603997dd86c	21
0d0b1477c2134aa3a3c3fcc62613232b	14
0d0c50d97863477aac58e8da6babd8a9	25
0d3997ab3aa240fcb2d1754429104557	9
0d402bf89e3f4e099a202e8567e10862	17
0d50cc3222124794bbca975ecc1aeee4	31
0d543f7a14bb401dafd1efba0e9c16f7	17
0d5502ac50b0479ea9cce04b0a91516d	16
0d72690208984feea1028c460f9eadb9	36
0d72cf7f422a4a9fbdc504f37069ef51	11
0d831c54a8254fd695d47e2b855d66f9	25
0d9392846c3a4521b3e2198c2c3c3c5b	15
0d9f6e8483a94ed49f120947bde1e7c7	9
0db4e764972441e5825072b012f84146	18
0dd6bca9b26e4a2696bf34f560f1fbf2	19
0dd8318b90b14699a7f55b2f987a0236	23
0df44e3430ed4b4fb2f792f645f5d0b9	11
0e0b9025471e43258285beca2b390db5	18
0e1013c539244721911d6ef64cbd3ec9	9
0e2e091416a34a619ecece025f655c68	11
0e2e358124704620a20b9773091f5db2	16
0e36f406242840369dd49117929f1a8d	21
0e45261df7474c9e9b3779b393447a62	20
0e5767babc3045198517715314dbfd98	31
0e661773feb943139679ff1183264000	16
0e6ea24c9999423a9fbb073c966fb36c	20
0e73b0fbdb3a4e67a22ef912215891fa	22
0e74a3a9f080413aa10cc49bc89852af	15
0e97b1f6d8824a4d8587e094ba82949b	14
0e9c1dabafcf4927a2a14c8eb400fcee	19
0e9fa15f560e4e34bf6647a8e9e1db01	21
0e9fef57bd2e4a6d937aaf9b8e30f8e8	11
0ec023f3170c42f5b9c5fba029eea072	24
