Dataset description: 
 Total samples: 623934
 Total number of scenes: 33311 
 Max samples of scenes: 74 
 Mean samples of scenes: 18 
 Min samples of scenes: 3 

scene_id	count
0069cff0516b4e5eb2d66d0fd50a1d48	15
006b10803a384ec3a45abda25ca6a01b	12
006bb7689a2f4b7185ef5e7ccd7a48c7	22
006dd81b694344c6872be734a0afd0e5	16
006f6e3405544514ac4640da61d35cbb	22
006fae35a220454b897b3e3aaa53f8a0	14
007179363d4646bbbebad3545838e823	31
00740b4675044c469f00dacb5559e151	19
00756556904043188b042b8789bbd6a5	24
00759dd310ed4ab6a3d6b2b40f2d0c6f	15
0076140f03ab4ca0b507ce8c56e37c52	11
007637cebb544ea48c1e20f0632e7de0	18
00772342c7924013861193bba9dbf579	13
007ca3a5f81645cdba632c35ada16694	28
007e11212ec744108201226c8cf9aa11	26
008041ce21e64984a3aa4d55fc719bd4	24
00876736fc2648c0b2dfebb8fcd0b5d4	17
0087dd5872c14715beb4c4c7c346c5b9	18
008b9e0315284ab095492e9b9a90ba0a	13
008c0f7f18ef4ef9838a586881fff6cb	22
008da2618a3b42feba10769bbabb38fc	20
008e78ed7f124903add72ba3a70464fc	27
0093b95f1ac64a4984f2ddb9e3d7748f	16
009434f0164c4400b3c1b28a4d3429fc	24
00944a9d0f0f4449becee8ffeb183445	13
009709f9aac44224b117df9f100c14ba	20
009880e64cf54187984c62aca529271d	14
0099d08734754088b2d9bab446f66c88	22
009b3826a0d24431ab70fb1e7fb82dd0	13
00a08c02d6df4dd98e9cfbcf7386bb58	20
00a0ba6f2666452bb39350504dd4520e	17
00a1c560f68b42388f9c27343a66711d	24
00a1f29f612a4fc894f006fc4bf52f70	19
00a305a56c2e4f248ceebd41cd6bf5dc	18
00a72712a0e547ad8d6fa7045acfa999	19
00a850001d7d4bb8b7aeeaa3dc08578c	13
00a8f0fe24cc4b59b2d7a193b362745d	18
00acef002aed4654a1553cd479dee153	17
00af26f2338a4b98a421ae1ab615ac20	30
00b0bafcddd7446babe6cbbd7762eea2	20
00b17aa5c8e9498ca032c30f440003fc	22
00b1f0ac6e194b129ab5121fbdc1aada	26
00b3ea6ae7ad49cdba5ff395096327d7	9
00b412935b9646aabc32ba880243c66b	11
